trial_index,start_x,start_y,target_x,target_y
322,400,750,400,50
323,400,750,400,50
324,400,750,400,50
325,400,750,400,50
326,400,750,400,50
327,400,750,400,50
328,400,750,400,50
329,400,750,400,50
330,400,750,400,50
331,400,750,400,50
332,400,750,400,50
333,400,750,400,50
334,400,750,400,50
335,400,750,400,50
336,400,750,400,50
337,400,750,400,50
338,400,750,400,50
339,400,750,400,50
340,400,750,400,50
341,400,750,400,50
342,400,750,400,50
343,400,750,400,50
344,400,750,400,50
345,400,750,400,50
346,400,750,400,50
347,400,750,400,50
348,400,750,400,50
349,400,750,400,50
350,400,750,400,50
351,400,750,400,50
352,400,750,400,50
353,400,750,400,50
354,400,750,400,50
355,400,750,400,50
356,400,750,400,50
357,400,750,400,50
358,400,750,400,50
359,400,750,400,50
360,400,750,400,50
361,400,750,400,50
362,400,750,400,50
363,400,750,400,50
364,400,750,400,50
365,400,750,400,50
366,400,750,400,50
367,400,750,400,50
368,400,750,400,50
369,400,750,400,50
370,400,750,400,50
371,400,750,400,50
372,400,750,400,50
373,400,750,400,50
374,400,750,400,50
375,750,400,50,400
376,750,400,50,400
377,750,400,50,400
378,750,400,50,400
379,750,400,50,400
380,750,400,50,400
381,750,400,50,400
382,750,400,50,400
383,750,400,50,400
384,750,400,50,400
385,750,400,50,400
386,750,400,50,400
387,750,400,50,400
388,750,400,50,400
389,750,400,50,400
390,750,400,50,400
391,750,400,50,400
392,750,400,50,400
393,750,400,50,400
394,750,400,50,400
395,750,400,50,400
396,750,400,50,400
397,750,400,50,400
398,750,400,50,400
399,750,400,50,400
400,750,400,50,400
401,750,400,50,400
402,750,400,50,400
403,750,400,50,400
404,750,400,50,400
405,750,400,50,400
406,750,400,50,400
407,750,400,50,400
408,750,400,50,400
409,750,400,50,400
410,750,400,50,400
411,750,400,50,400
412,750,400,50,400
413,750,400,50,400
414,750,400,50,400
415,750,400,50,400
416,750,400,50,400
417,750,400,50,400
418,750,400,50,400
419,750,400,50,400
420,750,400,50,400
421,750,400,50,400
422,750,400,50,400
423,750,400,50,400
424,750,400,50,400
425,750,400,50,400
426,750,400,50,400
427,750,400,50,400
428,750,400,50,400
429,750,400,50,400
430,750,400,50,400
431,750,400,50,400
432,750,400,50,400
433,750,400,50,400
434,750,400,50,400
435,750,400,50,400
436,750,400,50,400
437,750,400,50,400
438,750,400,50,400
439,750,400,50,400
440,750,400,50,400
441,750,400,50,400
442,750,400,50,400
443,750,400,50,400
444,750,400,50,400
445,750,400,50,400
446,750,400,50,400
447,750,400,50,400
448,750,400,50,400
449,750,400,50,400
450,750,400,50,400
451,750,400,50,400
452,750,400,50,400
453,750,400,50,400
454,750,400,50,400
455,750,400,50,400
456,750,400,50,400
457,750,400,50,400
458,750,400,50,400
459,750,400,50,400
460,750,400,50,400
461,750,400,50,400
462,750,400,50,400
463,750,400,50,400
464,750,400,50,400
465,750,400,50,400
466,750,400,50,400
467,750,400,50,400
468,750,400,50,400
469,750,400,50,400
470,750,400,50,400
471,750,400,50,400
472,750,400,50,400
473,750,400,50,400
474,750,400,50,400
475,750,400,50,400
476,750,400,50,400
477,750,400,50,400
478,750,400,50,400
479,750,400,50,400
480,750,400,50,400
481,750,400,50,400
482,750,400,50,400
483,750,400,50,400
484,750,400,50,400
485,750,400,50,400
486,750,400,50,400
487,750,400,50,400
488,750,400,50,400
489,750,400,50,400
490,750,400,50,400
491,750,400,50,400
492,750,400,50,400
493,750,400,50,400
494,750,400,50,400
495,750,400,50,400
496,750,400,50,400
497,750,400,50,400
498,750,400,50,400
499,750,400,50,400
500,750,400,50,400
501,750,400,50,400
502,750,400,50,400
503,750,400,50,400
504,750,400,50,400
505,750,400,50,400
506,750,400,50,400
507,750,400,50,400
508,750,400,50,400
509,750,400,50,400
510,750,400,50,400
511,750,400,50,400
512,750,400,50,400
513,750,400,50,400
514,750,400,50,400
515,750,400,50,400
516,750,400,50,400
517,750,400,50,400
518,750,400,50,400
519,750,400,50,400
520,750,400,50,400
521,750,400,50,400
